outcome,predictor,coef,se,t,p,n,r2,controls,fixed_effects,weighted
ln_scope12,rating_base,0.021830298298178532,0.003212911045351203,6.794554218911549,1.0864795093869571e-11,1488,0.6214861818117547,ln_mcap,"country_group, sector",no
ln_scope3,rating_base,0.031043586440724896,0.00286735172783134,10.826570782861037,2.5762341670470583e-27,1403,0.5540004227947624,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_base,0.010002041527902125,0.0024032278190221196,4.1619198349543005,3.1558314605771154e-05,1274,0.4671729562670234,ln_mcap,"country_group, sector",no
ln_scope12_per_assets,rating_base,0.011098901775328306,0.002582017608435948,4.298538375209394,1.719281363778712e-05,1412,0.6349919254035608,ln_mcap,"country_group, sector",no
ln_scope12_per_employees,rating_base,0.007037269195760281,0.0021698186439546054,3.24325224846188,0.0011817353623180039,1369,0.5326441307194041,ln_mcap,"country_group, sector",no
ln_scope12_per_energy,rating_base,-0.0003332240443717479,0.0010622311528017216,-0.3137020068493022,0.7537473764173651,1342,0.2511127380512844,ln_mcap,"country_group, sector",no
ln_scope12,rating_resource_use,0.01674798558538509,0.002773408326005753,6.038773817884021,1.5528973505069454e-09,1488,0.6163567069653832,ln_mcap,"country_group, sector",no
ln_scope3,rating_resource_use,0.022055272899197426,0.0025250740117101302,8.734505522180827,2.447243041918423e-18,1403,0.5393653036826456,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_resource_use,0.005612551298447215,0.0018512298805118956,3.031795973871841,0.00243103459573366,1274,0.4619882128988497,ln_mcap,"country_group, sector",no
ln_scope12_per_assets,rating_resource_use,0.007616114776886538,0.0020978146088102287,3.6304994468534098,0.00028287331102352036,1412,0.6321602710052603,ln_mcap,"country_group, sector",no
ln_scope12_per_employees,rating_resource_use,0.004328280909605206,0.0016314024515589655,2.6531043308590765,0.007975521491599693,1369,0.5303162228903989,ln_mcap,"country_group, sector",no
ln_scope12_per_energy,rating_resource_use,0.0004615841319254365,0.0008857909943060602,0.5210982442726767,0.6022983339658057,1342,0.2511623642463272,ln_mcap,"country_group, sector",no
ln_scope12,rating_innovation,0.011593651777757116,0.0022413059087671525,5.172721729955325,2.3070847227098045e-07,1488,0.6111954096830465,ln_mcap,"country_group, sector",no
ln_scope3,rating_innovation,0.01750350286936818,0.0018440511077209502,9.491875141682291,2.2691506371609147e-21,1403,0.5368474420650668,ln_mcap,"country_group, sector",no
ln_scope12_per_revenue,rating_innovation,0.006555828694446448,0.001739382373732565,3.76905549547349,0.00016386645450266872,1274,0.4654951265523781,ln_mcap,"country_group, sector",no
ln_scope12_per_assets,rating_innovation,0.006529327880317985,0.0017224406272390374,3.7907419141547316,0.000150197961859222,1412,0.6324900782590973,ln_mcap,"country_group, sector",no
ln_scope12_per_employees,rating_innovation,0.004533368955443856,0.001539980721513835,2.94378292670278,0.0032422732109371,1369,0.5316671700716675,ln_mcap,"country_group, sector",no
ln_scope12_per_energy,rating_innovation,-0.0006421927266242329,0.00115525920757635,-0.5558862655347336,0.5782886078974065,1342,0.25133333347436815,ln_mcap,"country_group, sector",no
ln_scope12,rating_change,0.001522183877299077,0.003231099965719835,0.47110392542743873,0.6375665220567441,1488,0.621534271186917,change in rating over the window,"country_group, sector",no
ln_scope3,rating_change,0.007418295729251004,0.004741418222285658,1.5645731680836468,0.1176830244006221,1403,0.5551007121573446,change in rating over the window,"country_group, sector",no
ln_scope12_per_revenue,rating_change,-0.0022598508113760253,0.003240976574789018,-0.6972746513982865,0.48563092850217193,1274,0.46738663246904744,change in rating over the window,"country_group, sector",no
ln_scope12_per_assets,rating_change,-0.0029371491997714615,0.0030973426310328465,-0.9482803647047706,0.34298674414088814,1412,0.6352176165045942,change in rating over the window,"country_group, sector",no
ln_scope12_per_employees,rating_change,-0.0046357838090084575,0.002104409731622174,-2.202890311400996,0.02760248066379602,1369,0.5334914159737945,change in rating over the window,"country_group, sector",no
ln_scope12_per_energy,rating_change,-0.0006565238553799136,0.0020599711375289937,-0.31870536602150484,0.7499499451942937,1342,0.251174426776383,change in rating over the window,"country_group, sector",no
ln_scope12,rating_base,0.0214337077637443,0.003034094218154811,7.0642854910350295,1.6144452341803866e-12,1280,0.6086728525422046,ln_mcap | dated observations only,"country_group, sector",no
ln_scope3,rating_base,0.02836569027435421,0.002771557881587085,10.23456535503097,1.3881709957333305e-24,1208,0.5508646857400317,ln_mcap | dated observations only,"country_group, sector",no
ln_scope12_per_revenue,rating_base,0.010002041527902125,0.0024032278190221196,4.1619198349543005,3.1558314605771154e-05,1274,0.4671729562670234,ln_mcap | dated observations only,"country_group, sector",no
ln_scope12_per_assets,rating_base,0.01378284865937796,0.002623399888449702,5.25381155959526,1.4898331484941984e-07,1280,0.5240368224344527,ln_mcap | dated observations only,"country_group, sector",no
ln_scope12_per_employees,rating_base,0.0077706001811794915,0.002345788279107641,3.312575244060601,0.0009244125601780444,1240,0.49819498690417086,ln_mcap | dated observations only,"country_group, sector",no
ln_scope12_per_energy,rating_base,-0.0015237056018608695,0.0009818083231674167,-1.5519379556136124,0.12067706996985385,1155,0.2529158303067981,ln_mcap | dated observations only,"country_group, sector",no
